"","sitename","lon","lat","elv","year_start","year_end","koeppen_code","igbp_land_use","whc","product"
"1","AR-SLu",-66.4598007202148,-33.4648017883301,500,2010,2010,"Bsk","MF",172.034240722656,"plumber"
"2","AR-TF1",-66.7335,-54.9733,40,2016,2018,"ET","WET",159.902340698242,"ameriflux"
"3","AT-Neu",11.3175001144409,47.1166687011719,970,2002,2012,"Dfc","GRA",239.95133972168,"plumber"
"4","AU-ASM",133.248992919922,-22.2830009460449,606,2011,2017,"BSh","ENF",149.109436035156,"plumber"
"5","AU-Cow",145.427154541016,-16.2381896972656,86,2010,2015,"Am","EBF",822.795186360677,"plumber"
"6","AU-Cpr",140.589126586914,-34.0020599365234,76,2011,2017,"BSk","SAV",141.817596435547,"plumber"
"7","AU-Ctr",145.446853637695,-16.1032791137695,66,2010,2017,"Am","EBF",943.682800292969,"plumber"
"8","AU-Cum",150.722473144531,-33.6132965087891,200,2013,2018,"Cfa","EBF",179.551086425781,"plumber"
"9","AU-DaP",131.318099975586,-14.0633001327515,116,2009,2012,"Aw","GRA",597.201416015625,"plumber"
"10","AU-DaS",131.388000488281,-14.1592826843262,108,2010,2017,"Aw","SAV",732.692199707031,"plumber"
"11","AU-Dry",132.37060546875,-15.2587995529175,191,2011,2015,"Aw","SAV",672.025512695312,"plumber"
"12","AU-Emr",148.474594116211,-23.858699798584,177,2012,2013,"Bsh","GRA",130.615829467773,"plumber"
"13","AU-GWW",120.654098510742,-30.1912994384766,504,2013,2017,"BWh ","SAV",144.887786865234,"plumber"
"14","AU-Gin",115.650001525879,-31.375,51,2012,2017,"Csa","WSA",439.733489990234,"plumber"
"15","AU-How",131.149993896484,-12.4952001571655,41,2003,2017,"Aw","WSA",558.274841308594,"plumber"
"16","AU-Lit",130.794494628906,-13.1790399551392,200,2016,2017,"Aw","WSA",543.70849609375,"plumber"
"17","AU-Otw",142.816802978516,-38.532341003418,54,2009,2010,"Cfb","GRA",359.493499755859,"plumber"
"18","AU-Rig",145.575897216797,-36.6498985290527,133,2011,2016,"Cfb","GRA",196.721298217773,"plumber"
"19","AU-Rob",145.630096435547,-17.1175003051758,710,2014,2017,"Cwa","EBF",851.119262695312,"plumber"
"20","AU-Sam",152.877807617188,-27.3880996704102,170,2011,2017,"Cfa","GRA",511.216522216797,"plumber"
"21","AU-Stp",133.350204467773,-17.1506996154785,252,2010,2017,"BSh","GRA",324.397583007812,"plumber"
"22","AU-TTE",133.639999389648,-22.2870006561279,553,2013,2017,"BWh","OSH",174.943023681641,"plumber"
"23","AU-Tum",148.151702880859,-35.6566009521484,1200,2002,2017,"Cfb","EBF",504.646728515625,"plumber"
"24","AU-Whr",145.029403686523,-36.6731986999512,152,2015,2016,"Cfb","EBF",196.984329223633,"plumber"
"25","AU-Wrr",146.654495239258,-43.0950202941895,100,2016,2017,"Cfb","EBF",259.188812255859,"plumber"
"26","AU-Ync",146.29069519043,-34.9892997741699,125,2011,2017,"BSk","GRA",238.270629882812,"plumber"
"27","BE-Bra",4.51984,51.30761,16,1996,2020,"Cfb","MF",262.910797119141,"icos_warmwinter2020"
"28","BE-Dor",4.968113,50.311874,253,2011,2020,"Cfb","CRO",195.831176757812,"icos_warmwinter2020"
"29","BE-Lcr",3.85,51.1,5,2019,2020,"Cfb","CRO",192.591171264648,"icos_warmwinter2020"
"30","BE-Lon",4.746234,50.55162,170,2004,2020,"Cfb","CRO",183.688446044922,"icos_warmwinter2020"
"31","BE-Maa",5.631851,50.97987,87,2016,2020,"Cfb","WSA",248.586242675781,"icos_warmwinter2020"
"32","BE-Vie",5.998099,50.304962,490,1996,2020,"Cfb","MF",224.261947631836,"icos_warmwinter2020"
"33","BR-CST",-38.3842,-7.9682,468,2014,2015,"Bsh","DNF",732.203369140625,"ameriflux"
"34","BR-Npw",-56.412,-16.498,120,2013,2017,"Aw","WSA",545.245788574219,"ameriflux"
"35","BR-Sa3",-54.971435546875,-3.01802921295166,100,2001,2003,"Am","EBF",661.403259277344,"plumber"
"36","BW-Ma1",23.5603294372559,-19.9165000915527,929,2000,2000,"BSh","SAV",359.003936767578,"plumber"
"37","CA-ARB",-83.9452,52.695,90,2011,2015,"Dfb","WET",851.853332519531,"ameriflux"
"38","CA-ARF",-83.955,52.7008,88,2011,2015,"Dfb","WET",851.853332519531,"ameriflux"
"39","CA-Ca1",-125.3336,49.8673,300,1996,2010,"Cfb","ENF",293.202362060547,"ameriflux"
"40","CA-Ca2",-125.2909,49.8705,300,1999,2010,"Cfb","ENF",301.478820800781,"ameriflux"
"41","CA-Cbo",-79.9333,44.3167,120,1994,2020,"Dfb","DBF",247.066482543945,"ameriflux"
"42","CA-DB2",-122.9951,49.119,4,2019,2020,"Csb ","WET",221.934494018555,"ameriflux"
"43","CA-DBB",-122.9849,49.1293,4,2014,2020,"Csb","WET",221.934494018555,"ameriflux"
"44","CA-ER1",-80.4123,43.6405,370,2015,2021,"Dfb","CRO",165.933227539062,"ameriflux"
"45","CA-Gro",-82.1556,48.2167,340,2003,2014,"Dfb","MF",237.408264160156,"ameriflux"
"46","CA-LP1",-122.8414,55.1119,751,2007,2022,"Csa","ENF",262.488128662109,"ameriflux"
"47","CA-MA1",-97.8762,50.1645,261,2009,2011,"Dfb","CRO",182.96940612793,"ameriflux"
"48","CA-MA2",-97.8762,50.171,261,2009,2011,"Dfb","CRO",182.96940612793,"ameriflux"
"49","CA-MA3",-97.8686,50.1774,261,2009,2011,"Dfb","GRA",182.96940612793,"ameriflux"
"50","CA-NS1",-98.4839,55.8792,260,2001,2005,"Dfc","ENF",741.468994140625,"ameriflux"
"51","CA-NS2",-98.5247,55.9058,260,2001,2005,"Dfc","ENF",758.646728515625,"ameriflux"
"52","CA-NS3",-98.3822,55.9117,260,2001,2005,"Dfc","ENF",750.125244140625,"ameriflux"
"53","CA-NS4",-98.3806,55.9144,260,2001,2005,"Dfc","ENF",750.125244140625,"ameriflux"
"54","CA-NS5",-98.485,55.8631,260,2001,2005,"Dfc","ENF",741.468994140625,"ameriflux"
"55","CA-NS6",-98.9644,55.9167,244,2001,2005,"Dfc","OSH",729.707214355469,"ameriflux"
"56","CA-NS7",-99.9483,56.6358,297,2001,2005,"Dfc","OSH",807.232299804688,"ameriflux"
"57","CA-Qcu",-74.0365295410156,49.2670783996582,392,2002,2006,"Dfc","ENF",197.249526977539,"plumber"
"58","CA-Qfo",-74.3421,49.6925,382,2003,2010,"Dfc","ENF",211.283905029297,"ameriflux"
"59","CA-SF1",-105.8176,54.485,536,2003,2006,"Dfc","ENF",887.161499023438,"ameriflux"
"60","CA-SF2",-105.8775,54.2539,520,2001,2006,"Dfc","ENF",162.575103759766,"ameriflux"
"61","CA-SF3",-106.005302429199,54.0915985107422,540,2003,2005,"Dfc","OSH",178.118133544922,"plumber"
"62","CA-TP1",-80.5595,42.6609,265,2002,2017,"Dfb","ENF",197.843719482422,"ameriflux"
"63","CA-TP3",-80.3483,42.7068,184,2002,2017,"Dfb","ENF",197.843719482422,"ameriflux"
"64","CA-TPD",-80.5577,42.6353,260,2012,2017,"Dfb","DBF",214.297927856445,"ameriflux"
"65","CH-Aws",9.790417,46.583306,2014,2006,2020,"ET","ENF",218.636077880859,"icos_warmwinter2020"
"66","CH-Cha",8.41044044494629,47.2102203369141,393,2005,2020,"Cfb","GRA",240.235687255859,"icos_warmwinter2020"
"67","CH-Dav",9.85591,46.81533,1689,1997,2020,"ET","ENF",223.231826782227,"icos_warmwinter2020"
"68","CH-Fru",8.53777980804443,47.1158332824707,982,2005,2020,"Cfb","GRA",213.803695678711,"icos_warmwinter2020"
"69","CH-Lae",8.365,47.47808333,645,2004,2020,"Cfb","MF",216.666030883789,"icos_warmwinter2020"
"70","CH-Oe1",7.73193979263306,47.285831451416,450,2002,2008,"Cfb","GRA",222.755966186523,"plumber"
"71","CH-Oe2",7.734333333,47.28630556,450,2004,2020,"Cfb","CRO",222.755966186523,"icos_warmwinter2020"
"72","CN-Cha",128.095794677734,42.4025001525879,754,2003,2005,"Dwb","MF",247.137954711914,"plumber"
"73","CN-Cng",123.509201049805,44.5933990478516,138,2008,2009,"Dwa","GRA",154.807708740234,"plumber"
"74","CN-Dan",91.0663986206055,30.4978008270264,4751,2004,2005,"ET","GRA",173.403762817383,"plumber"
"75","CN-Din",112.536102294922,23.1732997894287,261,2003,2005,"Cfa","EBF",242.554229736328,"plumber"
"76","CN-Du2",116.283599853516,42.0466995239258,1331,2007,2008,"Dwb","GRA",166.840408325195,"plumber"
"77","CN-HaM",101.180000305176,37.3699989318848,3975,2002,2003,"ET","GRA",189.575653076172,"plumber"
"78","CN-Qia",115.058097839355,26.7413997650146,64,2003,2005,"Cfa","ENF",228.145263671875,"plumber"
"79","CZ-BK1",18.536882,49.502075,875,2004,2020,"Dfb","ENF",259.215301513672,"icos_warmwinter2020"
"80","CZ-KrP",15.078773,49.573257,531,2014,2020,"Cfb","CRO",215.424697875977,"icos_warmwinter2020"
"81","CZ-Lnz",16.946331,48.68155,150,2015,2020,"Dfb","MF",218.029800415039,"icos_warmwinter2020"
"82","CZ-RAJ",16.6965125,49.4437236,628,2012,2020,"Dfb","ENF",240.929977416992,"icos_warmwinter2020"
"83","CZ-Stn",17.9699,49.035975,576,2010,2020,"Dfb","DBF",234.661331176758,"icos_warmwinter2020"
"84","CZ-wet",14.7703504562378,49.0246505737305,426,2006,2020,"Cfb","WET",188.041534423828,"icos_warmwinter2020"
"85","DE-Akm",13.68341667,53.86616667,-2,2009,2020,"Cfb","WET",900.431762695312,"icos_warmwinter2020"
"86","DE-Bay",11.8669395446777,50.1419410705566,781,1997,1999,"Cfb","ENF",241.641830444336,"plumber"
"87","DE-Geb",10.91463,51.09973,161.5,2001,2020,"Cfb","CRO",186.364288330078,"icos_warmwinter2020"
"88","DE-Gri",13.51259,50.95004,385,2004,2020,"Cfb","GRA",232.633666992188,"icos_warmwinter2020"
"89","DE-Hai",10.452089,51.079407,438.7,2000,2020,"Cfb","DBF",190.607116699219,"icos_warmwinter2020"
"90","DE-HoH",11.22235,52.08656,193,2015,2020,"Cfb","MF",219.055358886719,"icos_warmwinter2020"
"91","DE-Hte",12.176111,54.210278,4,2009,2018,"Cfb","WET",208.727188110352,"icos_drought2018"
"92","DE-Hzd",13.48978,50.96381,395,2010,2020,"Dfb","DBF",226.395889282227,"icos_warmwinter2020"
"93","DE-Kli",13.52238,50.89306,478,2004,2020,"Cfb","CRO",192.323883056641,"icos_warmwinter2020"
"94","DE-Meh",10.6554698944092,51.2753105163574,291,2004,2006,"Cfb","MF",190.888778686523,"plumber"
"95","DE-Obe",13.7212896347046,50.7866592407227,734,2008,2020,"Cfb","ENF",232.633666992188,"icos_warmwinter2020"
"96","DE-RuR",6.304126,50.621914,514.7,2011,2020,"Cfb","GRA",246.341278076172,"icos_warmwinter2020"
"97","DE-RuS",6.4471445,50.865906,103.2,2011,2020,"Cfb","CRO",216.484176635742,"icos_warmwinter2020"
"98","DE-RuW",6.3309627,50.50493,610,2012,2020,"Cfb","ENF",237.657348632812,"icos_warmwinter2020"
"99","DE-Seh",6.44964981079102,50.8706245422363,103,2008,2010,"Cfb","CRO",216.484176635742,"plumber"
"100","DE-SfN",11.3275003433228,47.8063888549805,590,2013,2014,"Cfb","WET",1114.90185546875,"plumber"
"101","DE-Tha",13.56515,50.96256,380,1996,2020,"Cfb","ENF",240.724716186523,"icos_warmwinter2020"
"102","DE-Wet",11.4575300216675,50.453498840332,703,2002,2006,"Cfb","ENF",235.99951171875,"plumber"
"103","DK-Fou",9.58722019195557,56.4841995239258,51,2005,2005,"Cfb","CRO",202.928497314453,"plumber"
"104","DK-Gds",9.3341,56.0737,89,2020,2020,"Dfb","ENF",236.989669799805,"icos_warmwinter2020"
"105","DK-Lva",12.0832996368408,55.6833000183105,-2493,2005,2006,"Cfb","GRA",207.003189086914,"plumber"
"106","DK-Ris",12.0972204208374,55.5302810668945,24,2004,2005,"Cfb","CRO",172.057342529297,"plumber"
"107","DK-Sor",11.644645,55.48587,40,1996,2020,"Cfb","DBF",166.7314453125,"icos_warmwinter2020"
"108","DK-ZaH",-20.5503005981445,74.4731979370117,38,2000,2013,"ET","GRA",171.79948425293,"plumber"
"109","ES-Abr",-6.785881,38.701839,279,2015,2020,"Csa ","SAV",393.981964111328,"icos_warmwinter2020"
"110","ES-Agu",-2.033208,36.940046,195,2006,2020,"BSk","CSH",166.910888671875,"icos_warmwinter2020"
"111","ES-Cnd",-3.227659,37.914998,371,2014,2020,"Bsk","WSA",488.821319580078,"icos_warmwinter2020"
"112","ES-ES1",-0.318809986114502,39.3459701538086,1,1999,2006,"Csa","ENF",676.388513183594,"plumber"
"113","ES-ES2",-0.315279990434647,39.2755584716797,7,2005,2006,"Csa","CRO",673.443466186523,"plumber"
"114","ES-LJu",-2.752115,36.926594,1622,2004,2020,"Csa","CSH",406.294097900391,"icos_warmwinter2020"
"115","ES-LM1",-5.778683,39.94269,261,2014,2020,"Csa","SAV",341.993316650391,"icos_warmwinter2020"
"116","ES-LM2",-5.778683,39.94269,261,2014,2020,"Csa","WSA",341.993316650391,"icos_warmwinter2020"
